timestamp,ticker,price,volume
2026-01-27,AMZN,244.68,38220828
2026-01-28,AAPL,256.44,41414623
2026-01-28,GOOGL,336.01,27433928
2026-01-28,MSFT,481.63,36875095
2026-01-28,NVDA,191.52,148548284
2026-01-28,AMZN,243.01,40882158
2026-01-29,AAPL,258.28,67249944
2026-01-29,GOOGL,338.25,39933635
2026-01-29,MSFT,433.50,128714079
2026-01-29,NVDA,192.51,171623344
2026-01-29,AMZN,241.73,47424541
2026-01-30,AAPL,259.48,92441480
2026-01-30,GOOGL,338.00,31022704
2026-01-30,MSFT,430.29,58507249
2026-01-30,NVDA,191.13,179458380
2026-01-30,AMZN,239.30,46606973
2026-02-02,AAPL,270.01,73907067
2026-02-02,GOOGL,343.69,32005949
2026-02-02,MSFT,423.37,42165317
2026-02-02,NVDA,185.61,165685272
2026-02-02,AMZN,242.96,37539012
2026-02-03,AAPL,269.48,64876957
2026-02-03,GOOGL,339.71,36503138
2026-02-03,MSFT,411.21,61279479
2026-02-03,NVDA,180.34,203628558
2026-02-03,AMZN,238.62,53532162
2026-02-04,AAPL,276.49,90524124
2026-02-04,GOOGL,333.04,70717312
2026-02-04,MSFT,414.19,45009670
2026-02-04,NVDA,174.19,206830668
2026-02-04,AMZN,232.99,51292080
2026-02-05,AAPL,275.91,52974789
2026-02-05,GOOGL,331.25,88355285
2026-02-05,MSFT,393.67,66140989
2026-02-05,NVDA,171.88,206372309
2026-02-05,AMZN,222.69,103547053
2026-02-06,AAPL,278.12,50417878
2026-02-06,GOOGL,322.86,56397172
2026-02-06,MSFT,401.14,53509375
2026-02-06,NVDA,185.41,231530920
2026-02-06,AMZN,210.32,181822603
2026-02-09,AAPL,274.62,44620563
2026-02-09,GOOGL,324.32,39638156
2026-02-09,MSFT,413.60,45533430
2026-02-09,NVDA,190.04,196435875
2026-02-09,AMZN,208.72,91185469
2026-02-10,AAPL,273.68,34382285
2026-02-10,GOOGL,318.58,39164303
2026-02-10,MSFT,413.27,44853607
2026-02-10,NVDA,188.54,136808388
2026-02-10,AMZN,206.96,67167978
2026-02-11,AAPL,275.50,51899837
2026-02-11,GOOGL,310.96,45425160
2026-02-11,MSFT,404.37,42484874
2026-02-11,NVDA,190.05,144171547
2026-02-11,AMZN,204.08,65429517
2026-02-12,AAPL,261.73,81063749
2026-02-12,GOOGL,309.00,47752890
2026-02-12,MSFT,401.84,40722419
2026-02-12,NVDA,186.94,189648445
2026-02-12,AMZN,199.60,83760679
2026-02-13,AAPL,255.78,56291457
2026-02-13,GOOGL,305.72,37625166
2026-02-13,MSFT,401.32,34138860
2026-02-13,NVDA,182.81,161876983
2026-02-13,AMZN,198.79,67312148
2026-02-13,AAPL,255.78,56291457
2026-02-13,GOOGL,305.72,37625166
2026-02-13,MSFT,401.32,34138860
2026-02-13,NVDA,182.81,161876983
2026-02-13,AMZN,198.79,67312148
2026-02-17,AAPL,263.88,58505027
2026-02-17,GOOGL,302.02,39241305
2026-02-17,MSFT,396.86,32049760
2026-02-17,NVDA,184.97,162258311
2026-02-17,AMZN,201.15,69860925
2026-02-18,AAPL,264.35,34199653
2026-02-18,GOOGL,303.33,28479396
2026-02-18,MSFT,399.60,23221693
2026-02-18,NVDA,187.98,164764698
2026-02-18,AMZN,204.79,50999189
2026-02-19,AAPL,260.58,30845294
2026-02-19,GOOGL,302.85,25834395
2026-02-19,MSFT,398.46,28234001
2026-02-19,NVDA,187.90,126554526
2026-02-19,AMZN,204.86,35669611
2026-02-20,AAPL,264.58,42070499
2026-02-20,GOOGL,314.98,53210820
2026-02-20,MSFT,397.23,34015249
2026-02-20,NVDA,189.82,178422337
2026-02-20,AMZN,210.11,65881611
2026-02-23,AAPL,266.18,37305403
2026-02-23,GOOGL,311.49,31420649
2026-02-23,MSFT,384.47,44796006
2026-02-23,NVDA,191.55,171579195
2026-02-23,AMZN,205.27,53577646
2026-02-24,AAPL,272.14,47014619
2026-02-24,GOOGL,310.90,25615646
2026-02-24,MSFT,389.00,33884653
2026-02-24,NVDA,192.85,175123602
2026-02-24,AMZN,208.56,41137162
2026-02-25,AAPL,274.23,33711234
2026-02-25,GOOGL,312.90,30270165
2026-02-25,MSFT,400.60,43610243
2026-02-25,NVDA,195.56,249656381
2026-02-25,AMZN,210.64,41344300
2026-02-26,AAPL,272.95,32345114
2026-02-26,GOOGL,307.38,36431231
2026-02-26,MSFT,401.72,34405869
2026-02-26,NVDA,184.89,360807907
2026-02-26,AMZN,207.92,47756765
2026-02-27,AAPL,264.18,72371936
2026-02-27,GOOGL,311.76,44666191
2026-02-27,MSFT,392.74,51435143
2026-02-27,NVDA,177.19,310868240
2026-02-27,AMZN,210.00,57870717
2026-03-02,AAPL,264.72,41827946
2026-03-02,GOOGL,306.52,34790203
2026-03-02,MSFT,398.55,35474907
2026-03-02,NVDA,182.48,209095331
2026-03-02,AMZN,208.39,46001010
2026-03-03,AAPL,263.75,38568921
2026-03-03,GOOGL,303.58,35496961
2026-03-03,MSFT,403.93,38199209
2026-03-03,NVDA,180.05,178099430
2026-03-03,AMZN,208.73,43184918
2026-03-04,AAPL,262.52,39803119
2026-03-04,GOOGL,303.13,29536190
2026-03-04,MSFT,405.20,35807990
2026-03-04,NVDA,183.04,177731198
2026-03-04,AMZN,216.82,54731101
2026-03-05,AAPL,260.29,49658626
2026-03-05,GOOGL,300.88,35752321
2026-03-05,MSFT,410.68,39001315
2026-03-05,NVDA,183.34,198779729
2026-03-05,AMZN,218.94,60943447
2026-03-06,AAPL,257.46,41120042
2026-03-06,GOOGL,298.52,25576916
2026-03-06,MSFT,408.96,31123859
2026-03-06,NVDA,177.82,189021949
2026-03-06,AMZN,213.21,51152716
2026-03-09,AAPL,259.88,38218533
2026-03-09,GOOGL,306.36,29312149
2026-03-09,MSFT,409.41,30131854
2026-03-09,NVDA,182.65,177213588
2026-03-09,AMZN,213.49,54642926
2026-03-10,AAPL,260.83,30590765
2026-03-10,GOOGL,307.04,23239684
2026-03-10,MSFT,405.76,31706375
2026-03-10,NVDA,184.77,179118528
2026-03-10,AMZN,214.33,35678834
2026-03-11,AAPL,260.81,26218927
2026-03-11,GOOGL,308.70,24125714
2026-03-11,MSFT,404.88,25512139
2026-03-11,NVDA,186.03,145280386
2026-03-11,AMZN,212.65,34199303
2026-03-12,AAPL,255.76,40794020
2026-03-12,GOOGL,303.55,24928347
2026-03-12,MSFT,401.86,27263886
2026-03-12,NVDA,183.14,155762663
2026-03-12,AMZN,209.53,44349501
2026-03-13,AAPL,250.12,36929988
2026-03-13,GOOGL,302.28,23693092
2026-03-13,MSFT,395.55,26848000
2026-03-13,NVDA,180.25,160988424
2026-03-13,AMZN,207.67,35662137
2026-03-16,AAPL,252.82,32074209
2026-03-16,GOOGL,305.56,23519709
2026-03-16,MSFT,399.95,27733721
2026-03-16,NVDA,183.22,217307380
2026-03-16,AMZN,211.74,42209316
2026-03-17,AAPL,254.23,32960103
2026-03-17,GOOGL,310.92,21957893
2026-03-17,MSFT,399.41,26227450
2026-03-17,NVDA,181.93,182489378
2026-03-17,AMZN,215.20,44968277
2026-03-18,AAPL,249.94,35757874
2026-03-18,GOOGL,307.69,20009815
2026-03-18,MSFT,391.79,25908484
2026-03-18,NVDA,180.40,156683136
2026-03-18,AMZN,209.87,37846642
2026-03-19,AAPL,248.96,34864082
2026-03-19,GOOGL,307.13,25075831
2026-03-19,MSFT,389.02,25138772
2026-03-19,NVDA,178.56,170968527
2026-03-19,AMZN,208.76,36440622
2026-03-20,AAPL,247.99,88752566
2026-03-20,GOOGL,301.00,44311041
2026-03-20,MSFT,381.87,50837100
2026-03-20,NVDA,172.70,240838479
2026-03-20,AMZN,205.37,63680931
2026-03-23,AAPL,251.49,40546109
2026-03-23,GOOGL,302.06,29326946
2026-03-23,MSFT,383.00,29680059
2026-03-23,NVDA,175.64,182836294
2026-03-23,AMZN,210.14,44277356
2026-03-24,AAPL,251.64,45152288
2026-03-24,GOOGL,290.44,36864278
2026-03-24,MSFT,372.74,42733625
2026-03-24,NVDA,175.20,147667844
2026-03-24,AMZN,207.24,35351425
2026-03-25,AAPL,252.62,28476668
2026-03-25,GOOGL,290.93,29460669
2026-03-25,MSFT,371.04,31181163
2026-03-25,NVDA,178.68,162602054
2026-03-25,AMZN,211.71,36388791
2026-03-26,AAPL,252.89,41796650
2026-03-26,GOOGL,280.92,39080578
2026-03-26,MSFT,365.97,36836574
2026-03-26,NVDA,171.24,186152232
2026-03-26,AMZN,207.54,46745978
2026-03-27,AAPL,248.80,47899998
2026-03-27,GOOGL,274.34,35890612
2026-03-27,MSFT,356.77,37883400
2026-03-27,NVDA,167.52,196212684
2026-03-27,AMZN,199.34,56009763
2026-03-30,AAPL,246.63,39446213
2026-03-30,GOOGL,273.50,35141244
2026-03-30,MSFT,358.96,44797002
2026-03-30,NVDA,165.17,185626992
2026-03-30,AMZN,200.95,46373797
2026-03-31,AAPL,253.79,49598091
2026-03-31,GOOGL,287.56,43875400
2026-03-31,MSFT,370.17,45244365
2026-03-31,NVDA,174.40,226181301
2026-03-31,AMZN,208.27,58470078
2026-04-01,AAPL,255.63,40059432
2026-04-01,GOOGL,297.39,37684462
2026-04-01,MSFT,369.37,29417206
2026-04-01,NVDA,175.75,168132005
2026-04-01,AMZN,210.57,45955395
2026-04-02,AAPL,255.92,31289369
2026-04-02,GOOGL,295.77,21666465
2026-04-02,MSFT,373.46,24099067
2026-04-02,NVDA,177.39,143143157
2026-04-02,AMZN,209.77,31453039
2026-04-02,AAPL,255.92,31289369
2026-04-02,GOOGL,295.77,21666465
2026-04-02,MSFT,373.46,24099067
2026-04-02,NVDA,177.39,143143157
2026-04-02,AMZN,209.77,31453039
2026-04-06,AAPL,258.86,29329911
2026-04-06,GOOGL,299.99,16945494
2026-04-06,MSFT,372.88,16146572
2026-04-06,NVDA,177.64,107564279
2026-04-06,AMZN,212.79,25385495
2026-04-07,AAPL,253.50,62148008
2026-04-07,GOOGL,305.46,23205361
2026-04-07,MSFT,372.29,21443349
2026-04-07,NVDA,178.10,132534902
2026-04-07,AMZN,213.77,28154557
2026-04-08,AAPL,258.90,41032772
2026-04-08,GOOGL,317.32,33547140
2026-04-08,MSFT,374.33,33064818
2026-04-08,NVDA,182.08,147732686
2026-04-08,AMZN,221.25,51092698
